"Name","Status","StartType","Time"
"AarSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"AdobeARMservice","Running","Automatic","03-20-2024 06:39:16"
"AdobeUpdateService","Running","Automatic","03-20-2024 06:39:16"
"AJRouter","Stopped","Manual","03-20-2024 06:39:16"
"ALG","Stopped","Manual","03-20-2024 06:39:16"
"AppIDSvc","Stopped","Manual","03-20-2024 06:39:16"
"Appinfo","Running","Manual","03-20-2024 06:39:16"
"AppMgmt","Running","Manual","03-20-2024 06:39:16"
"AppReadiness","Stopped","Manual","03-20-2024 06:39:16"
"AppVClient","Stopped","Disabled","03-20-2024 06:39:16"
"AppXSvc","Stopped","Manual","03-20-2024 06:39:16"
"AssignedAccessManagerSvc","Stopped","Manual","03-20-2024 06:39:16"
"AudioEndpointBuilder","Running","Automatic","03-20-2024 06:39:16"
"Audiosrv","Running","Automatic","03-20-2024 06:39:16"
"autotimesvc","Stopped","Manual","03-20-2024 06:39:16"
"AxInstSV","Stopped","Manual","03-20-2024 06:39:16"
"battlenet_helpersvc","Stopped","Manual","03-20-2024 06:39:16"
"BcastDVRUserService_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"BDESVC","Stopped","Manual","03-20-2024 06:39:16"
"BFE","Running","Automatic","03-20-2024 06:39:16"
"BITS","Running","Automatic","03-20-2024 06:39:16"
"BluetoothUserService_acd5f","Running","Manual","03-20-2024 06:39:16"
"BrokerInfrastructure","Running","Automatic","03-20-2024 06:39:16"
"BTAGService","Running","Manual","03-20-2024 06:39:16"
"BthAvctpSvc","Running","Manual","03-20-2024 06:39:16"
"bthserv","Running","Manual","03-20-2024 06:39:16"
"CAMService","Running","Automatic","03-20-2024 06:39:16"
"camsvc","Running","Manual","03-20-2024 06:39:16"
"CaptureService_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"cbdhsvc_acd5f","Running","Automatic","03-20-2024 06:39:16"
"CDPSvc","Running","Automatic","03-20-2024 06:39:16"
"CDPUserSvc_acd5f","Running","Automatic","03-20-2024 06:39:16"
"CertPropSvc","Stopped","Manual","03-20-2024 06:39:16"
"ClickToRunSvc","Running","Automatic","03-20-2024 06:39:16"
"ClipSVC","Stopped","Manual","03-20-2024 06:39:16"
"CloudBackupRestoreSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"cloudidsvc","Stopped","Manual","03-20-2024 06:39:16"
"COMSysApp","Stopped","Manual","03-20-2024 06:39:16"
"ConsentUxUserSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"CoreMessagingRegistrar","Running","Automatic","03-20-2024 06:39:16"
"cplspcon","Running","Automatic","03-20-2024 06:39:16"
"CredentialEnrollmentManagerUserSvc_acd5f","Running","Manual","03-20-2024 06:39:16"
"CryptSvc","Running","Automatic","03-20-2024 06:39:16"
"CscService","Stopped","Manual","03-20-2024 06:39:16"
"DcomLaunch","Running","Automatic","03-20-2024 06:39:16"
"dcsvc","Stopped","Manual","03-20-2024 06:39:16"
"defragsvc","Stopped","Manual","03-20-2024 06:39:16"
"DeviceAssociationBrokerSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"DeviceAssociationService","Running","Manual","03-20-2024 06:39:16"
"DeviceInstall","Stopped","Manual","03-20-2024 06:39:16"
"DevicePickerUserSvc_acd5f","Stopped","Manual","03-20-2024 06:39:16"
"DevicesFlowUserSvc_acd5f","Running","Manual","03-20-2024 06:39:16"
"DevQueryBroker","Running","Manual","03-20-2024 06:39:16"
"Dhcp","Running","Automatic","03-20-2024 06:39:16"
"diagnosticshub.standardcollector.service","Stopped","Manual","03-20-2024 06:39:16"
"diagsvc","Stopped","Manual","03-20-2024 06:39:16"
"DiagTrack","Running","Automatic","03-20-2024 06:39:16"
"DialogBlockingService","Stopped","Disabled","03-20-2024 06:39:16"
"DispBrokerDesktopSvc","Running","Automatic","03-20-2024 06:39:16"
"DisplayEnhancementService","Running","Manual","03-20-2024 06:39:16"
"DmEnrollmentSvc","Stopped","Manual","03-20-2024 06:39:16"
"dmwappushservice","Stopped","Manual","03-20-2024 06:39:16"
"Dnscache","Running","Automatic","03-20-2024 06:39:16"
"DoSvc","Running","Automatic","03-20-2024 06:39:16"
"dot3svc","Stopped","Manual","03-20-2024 06:39:16"
"DPS","Running","Automatic","03-20-2024 06:39:16"
"DsmSvc","Stopped","Manual","03-20-2024 06:39:16"
"DsSvc","Running","Manual","03-20-2024 06:39:16"
"DusmSvc","Running","Automatic","03-20-2024 06:39:16"
"EapHost","Stopped","Manual","03-20-2024 06:39:16"
"EasyAntiCheat_EOS","Stopped","Manual","03-20-2024 06:39:16"
"edgeupdate","Stopped","Automatic","03-20-2024 06:39:16"
"edgeupdatem","Stopped","Manual","03-20-2024 06:39:16"
"EFS","Running","Manual","03-20-2024 06:39:16"
"embeddedmode","Stopped","Manual","03-20-2024 06:39:16"
"EntAppSvc","Stopped","Manual","03-20-2024 06:39:16"
"EventLog","Running","Automatic","03-20-2024 06:39:16"
"EventSystem","Running","Automatic","03-20-2024 06:39:16"
"Fax","Stopped","Manual","03-20-2024 06:39:16"
"fdPHost","Stopped","Manual","03-20-2024 06:39:16"
"FDResPub","Stopped","Manual","03-20-2024 06:39:16"
"fhsvc","Stopped","Manual","03-20-2024 06:39:16"
"FileSyncHelper","Stopped","Manual","03-20-2024 06:39:16"
"FontCache","Running","Automatic","03-20-2024 06:39:16"
"FrameServer","Stopped","Manual","03-20-2024 06:39:16"
"FrameServerMonitor","Stopped","Manual","03-20-2024 06:39:16"
"FvSvc","Stopped","Manual","03-20-2024 06:39:16"
"GameInputSvc","Stopped","Manual","03-20-2024 06:39:16"
"GoogleChromeElevationService","Stopped","Manual","03-20-2024 06:39:16"
"GoogleUpdaterInternalService124.0.6359.0","Stopped","Automatic","03-20-2024 06:39:16"
"GoogleUpdaterService124.0.6359.0","Stopped","Automatic","03-20-2024 06:39:16"
"gpsvc","Running","Automatic","03-20-2024 06:39:16"
"GraphicsPerfSvc","Stopped","Manual","03-20-2024 06:39:16"
"hidserv","Running","Manual","03-20-2024 06:39:16"
"HvHost","Running","Manual","03-20-2024 06:39:16"
